2023-04-03T14:47:37-00:00
Running ..\build\gccO0\cache-associativity-limit\cache-associativity-limit.exe
Run on (8 X 1800 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 6144 KiB (x1)
***WARNING*** Library was built as DEBUG. Timings may be affected.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"cache_associativity_limit_benchmark/30",14544,0.0479669,0.0483447,ms,,,,,
"cache_associativity_limit_benchmark/32",16593,0.0430925,0.0433165,ms,,,,,
"cache_associativity_limit_benchmark/60",10000,0.0519553,0.053125,ms,,,,,
"cache_associativity_limit_benchmark/64",7467,0.133257,0.133923,ms,,,,,
"cache_associativity_limit_benchmark/120",6400,0.090447,0.090332,ms,,,,,
"cache_associativity_limit_benchmark/128",4978,0.146661,0.147524,ms,,,,,
"cache_associativity_limit_benchmark/250",11200,0.078024,0.078125,ms,,,,,
"cache_associativity_limit_benchmark/256",4073,0.166413,0.164958,ms,,,,,
"cache_associativity_limit_benchmark/510",8960,0.0771336,0.0767299,ms,,,,,
"cache_associativity_limit_benchmark/512",2800,0.283579,0.284598,ms,,,,,
