2023-04-03T16:55:02+02:00
Running ..\out\build\x64-Debug-O2\matrix-multiplication-variations\matrix-multiplication-variations.exe
Run on (8 X 1800 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 6144 KiB (x1)
***WARNING*** Library was built as DEBUG. Timings may be affected.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"ijk/45",8960,0.0744929,0.0732422,ms,,,,,
"ijk/170",112,5.79041,5.71987,ms,,,,,
"jik/45",8960,0.0781944,0.0784738,ms,,,,,
"jik/170",112,5.90234,5.85938,ms,,,,,
"jki/45",8960,0.0759697,0.0767299,ms,,,,,
"jki/170",100,6.68241,6.71875,ms,,,,,
"kji/45",8960,0.0743034,0.0732422,ms,,,,,
"kji/170",100,5.6626,5.78125,ms,,,,,
"kij/45",16000,0.0441336,0.0439453,ms,,,,,
"kij/170",204,3.13042,3.06373,ms,,,,,
"ikj/45",10000,0.0502402,0.05,ms,,,,,
"ikj/170",224,2.76581,2.72042,ms,,,,,
