2023-04-03T14:50:20-00:00
Running ..\build\clangO0\matrix-multiplication-variations\matrix-multiplication-variations.exe
Run on (8 X 1800 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 6144 KiB (x1)
***WARNING*** Library was built as DEBUG. Timings may be affected.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"ijk/45",2800,0.25785,0.256696,ms,,,,,
"ijk/170",41,16.251,16.0061,ms,,,,,
"jik/45",2635,0.253384,0.254981,ms,,,,,
"jik/170",45,15.1951,14.9306,ms,,,,,
"jki/45",2240,0.309895,0.30692,ms,,,,,
"jki/170",32,21.7792,21.4844,ms,,,,,
"kji/45",2240,0.334814,0.334821,ms,,,,,
"kji/170",34,21.0374,21.1397,ms,,,,,
"kij/45",2489,0.294384,0.295048,ms,,,,,
"kij/170",32,17.2672,17.0898,ms,,,,,
"ikj/45",2133,0.348725,0.351617,ms,,,,,
"ikj/170",41,16.3533,16.3872,ms,,,,,
