2023-04-03T14:50:47-00:00
Running ..\build\clangO0\cache-associativity-limit\cache-associativity-limit.exe
Run on (8 X 1800 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 6144 KiB (x1)
***WARNING*** Library was built as DEBUG. Timings may be affected.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"cache_associativity_limit_benchmark/30",24889,0.0305225,0.0307616,ms,,,,,
"cache_associativity_limit_benchmark/32",18667,0.0356268,0.0359927,ms,,,,,
"cache_associativity_limit_benchmark/60",20364,0.034083,0.0345278,ms,,,,,
"cache_associativity_limit_benchmark/64",11200,0.0584331,0.0585938,ms,,,,,
"cache_associativity_limit_benchmark/120",18667,0.0359901,0.0359927,ms,,,,,
"cache_associativity_limit_benchmark/128",4480,0.133772,0.132533,ms,,,,,
"cache_associativity_limit_benchmark/250",18667,0.0370549,0.0368297,ms,,,,,
"cache_associativity_limit_benchmark/256",4978,0.143369,0.141246,ms,,,,,
"cache_associativity_limit_benchmark/510",15448,0.0475746,0.0475385,ms,,,,,
"cache_associativity_limit_benchmark/512",4073,0.156649,0.15345,ms,,,,,
