2023-04-03T14:47:11-00:00
Running ..\build\gccO0\matrix-multiplication-variations\matrix-multiplication-variations.exe
Run on (8 X 1800 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 6144 KiB (x1)
***WARNING*** Library was built as DEBUG. Timings may be affected.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"ijk/45",2635,0.262455,0.254981,ms,,,,,
"ijk/170",45,16.1974,16.3194,ms,,,,,
"jik/45",2800,0.254998,0.256696,ms,,,,,
"jik/170",45,15.4792,15.625,ms,,,,,
"jki/45",2240,0.320907,0.320871,ms,,,,,
"jki/170",32,22.8675,22.9492,ms,,,,,
"kji/45",1792,0.309481,0.305176,ms,,,,,
"kji/170",34,21.5109,21.5993,ms,,,,,
"kij/45",2489,0.291873,0.295048,ms,,,,,
"kij/170",45,18.3975,18.4028,ms,,,,,
"ikj/45",2358,0.336317,0.337945,ms,,,,,
"ikj/170",34,16.3351,16.0846,ms,,,,,
