2023-04-03T14:49:06-00:00
Running ..\build\gccO2\cache-associativity-limit\cache-associativity-limit.exe
Run on (8 X 1800 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 6144 KiB (x1)
***WARNING*** Library was built as DEBUG. Timings may be affected.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"cache_associativity_limit_benchmark/30",44800,0.0151453,0.015346,ms,,,,,
"cache_associativity_limit_benchmark/32",34462,0.0203737,0.0204029,ms,,,,,
"cache_associativity_limit_benchmark/60",37333,0.0183983,0.0184153,ms,,,,,
"cache_associativity_limit_benchmark/64",10000,0.0543943,0.053125,ms,,,,,
"cache_associativity_limit_benchmark/120",40727,0.0177913,0.017648,ms,,,,,
"cache_associativity_limit_benchmark/128",8960,0.0792146,0.0767299,ms,,,,,
"cache_associativity_limit_benchmark/250",28000,0.0238164,0.0239955,ms,,,,,
"cache_associativity_limit_benchmark/256",7467,0.111273,0.110905,ms,,,,,
"cache_associativity_limit_benchmark/510",14867,0.049476,0.0493963,ms,,,,,
"cache_associativity_limit_benchmark/512",8960,0.0941642,0.0941685,ms,,,,,
