2023-04-03T16:53:41+02:00
Running ..\out\build\x64-Debug-O0\cache-associativity-limit\cache-associativity-limit.exe
Run on (8 X 1800 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 6144 KiB (x1)
***WARNING*** Library was built as DEBUG. Timings may be affected.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"cache_associativity_limit_benchmark/30",23579,0.0338703,0.033796,ms,,,,,
"cache_associativity_limit_benchmark/32",23579,0.0360795,0.035784,ms,,,,,
"cache_associativity_limit_benchmark/60",16725,0.0314001,0.0308296,ms,,,,,
"cache_associativity_limit_benchmark/64",8960,0.0650582,0.0662667,ms,,,,,
"cache_associativity_limit_benchmark/120",20364,0.0358851,0.0360624,ms,,,,,
"cache_associativity_limit_benchmark/128",5600,0.122398,0.122768,ms,,,,,
"cache_associativity_limit_benchmark/250",20364,0.0368707,0.0368297,ms,,,,,
"cache_associativity_limit_benchmark/256",4978,0.144097,0.144385,ms,,,,,
"cache_associativity_limit_benchmark/510",14933,0.0447994,0.0449926,ms,,,,,
"cache_associativity_limit_benchmark/512",4480,0.162265,0.163923,ms,,,,,
